Township_Name,Township_Code,Latitude,Longitude,Area_km2
Hinthada,MMR017008,17.620813315836248,95.37352206141767,1010.4181359174404
Ingapu,MMR017013,17.853817943676553,95.14546319194834,1676.7685811550828
Kyangin,MMR017012,18.30254477002929,95.05703504574647,1152.4630041422563
Lemyethna,MMR017010,17.60144315657638,95.01393636255168,1007.607271994524
Myanaung,MMR017011,18.08571132681185,95.17817345403812,1536.6752119010946
Zalun,MMR017009,17.475563174828768,95.5755493119433,627.1775367118926
Labutta,MMR017016,16.072203519747404,94.85969179869552,2501.993948593244
Mawlamyinegyun,MMR017018,16.345618797209415,95.26636189930764,1228.1787926485458
Danubyu,MMR017022,17.258805325784014,95.54627576500026,750.861527784558
Maubin,MMR017019,16.72527012610319,95.66829723006748,1319.1670324078627
Nyaungdon,MMR017021,17.02065473647446,95.70588428204162,894.5565925275613
Pantanaw,MMR017020,16.96691494707904,95.4021248323131,1334.141775384429
Einme,MMR017015,16.77175306251772,95.09934421651796,745.1778076265792
Myaungmya,MMR017014,16.516672967265666,94.89737698080302,1142.68700212589
Wakema,MMR017017,16.591587943067566,95.23136936443824,1176.378655098756
Kangyidaunt,MMR017002,16.81158667509737,94.87577702852155,790.5975645923975
Kyaunggon,MMR017007,17.057094179468514,95.15338753045629,681.6507441314099
Kyonpyaw,MMR017005,17.310565505292594,95.277048908354,823.991830445823
Ngapudaw,MMR017004,16.327019234220245,94.44960224855085,3195.8015234206823
Pathein,MMR017001,16.90979144548138,94.57351897649664,1836.627606618946
Thabaung,MMR017003,17.134642070130592,94.78546191646556,1825.3135108199613
Yegyi,MMR017006,17.366010071866178,94.98323630086831,1299.1241508797634
Bogale,MMR017024,16.094215068954536,95.36414508391864,2031.6895723000123
Dedaye,MMR017026,16.31219591919133,95.85143446239532,915.6183295806652
Kyaiklat,MMR017025,16.52292143351306,95.6152305237769,705.5860043145557
Pyapon,MMR017023,16.024604596837182,95.54240445558531,1428.5073060261102
Bago,MMR007001,17.570015553700177,96.33531785549388,2916.536526127172
Daik-U,MMR007007,17.767798770967868,96.57631555550888,1286.9485590132292
Kawa,MMR007003,17.05060001779346,96.644452873761,961.3452550816514
Kyauktaga,MMR007006,18.188626418372248,96.34976221909488,2849.4326833364426
Waingmaw,MMR001002,25.311564693240097,97.70066771807754,5035.113746772045
Khaunglanhpu,MMR001018,27.10775445819688,98.41024282460953,5360.556194708695
Machanbaw,MMR001016,27.20779155618673,97.79409685249615,3221.249797657305
Nawngmun,MMR001017,27.878048261995858,97.83305868610016,8146.343252231329
Puta-O,MMR001014,27.30034924300605,97.33724353530128,6165.166282756268
Sumprabum,MMR001015,26.467788020058297,97.5677839185593,4971.493946109527
Kyauktada,MMR013033,16.7744554242757,96.16136966104646,0.7248958856382823
Nyaunglebin,MMR007005,17.92343916276002,96.73830322413318,733.5695263020397
Shwegyin,MMR007008,17.89150055976009,97.00461878096225,2449.020377025958
Thanatpin,MMR007002,17.259033867656562,96.70009301666926,852.1198231406325
Thandaunggyi,MMR003004,19.044837631938183,96.72832054880202,3643.9979049791855
Hpapun,MMR003003,18.0758644910832,97.36920327076554,6761.120116770659
Kawkareik,MMR003006,16.537746255659734,98.14949663890351,2432.8650877230466
Waw,MMR007004,17.504675811829063,96.74587888965917,950.570133977723
Kyainseikgyi,MMR003007,15.822557962731798,98.252652844154,7248.070076987787
Myawaddy,MMR003005,16.548839028429484,98.52039590283984,3165.0679036962997
Gangaw,MMR009023,22.24990507018492,94.179850406974,2472.4590855674
Saw,MMR009025,21.20319435271472,94.1893203034809,1774.481910223844
Latha,MMR013036,16.77676394759356,96.15053772321248,0.6157962855597808
Mayangone,MMR013042,16.862320540237572,96.14235186900808,24.55077758956397
Htantabin,MMR007014,18.74316045425844,96.53812332278136,544.7115558658254
Kyaukkyi,MMR007011,18.393714418396264,96.83744867344258,2028.573716898885
Oktwin,MMR007013,18.79892555000275,96.20329047888526,1437.1106455849956
Phyu,MMR007012,18.5267968750911,96.27721020518236,2318.9862054624477
Taungoo,MMR007009,19.00477706257221,96.2216142284681,1728.4214951478143
Yedashe,MMR007010,19.28197207609876,96.15368034682255,2619.97140246483
Padaung,MMR008003,18.683978483177977,94.92727617512864,2506.5608358785853
Paukkhaung,MMR008002,18.980852082728315,95.622295939209,1916.0701177415465
Paungde,MMR008004,18.640590861537827,95.62121137875336,934.7789232783466
Ngape,MMR009009,19.95919906621855,94.4149609444213,1315.9779827572822
Pwintbyu,MMR009008,20.347683087256765,94.60419464109212,1199.708206417173
Salin,MMR009010,20.694760703749427,94.53776851639692,2311.832732485924
Sidoktaya,MMR009011,20.50813522437826,94.18078992252138,2813.8807656849085
Myaing,MMR009020,21.65553913923889,94.84927248480814,2034.1252690182416
Pabedan,MMR013034,16.77642750815385,96.15583673899545,0.5917748932291795
Pyay,MMR008001,18.91976954007101,95.31772625494852,784.8156928233627
Shwedaung,MMR008006,18.566058401871896,95.21244204413225,697.2030616038866
Aungmyaythazan,MMR010001,22.00163441774191,96.09806932088968,26.142183528485774
Thegon,MMR008005,18.62296076655728,95.3996493331493,777.767023205978
Gyobingauk,MMR008014,18.286566977844192,95.75198109502406,769.0969076608933
Letpadan,MMR008008,17.882126057987982,95.82356873140871,1471.887197021818
Chanayethazan,MMR010002,21.975584059666392,96.09504042606896,11.802416320580583
Minhla,MMR008009,17.97251438881315,95.74048392248896,677.9480821929675
Monyo,MMR008013,18.110876029377383,95.46188680591656,655.8989224691697
Nattalin,MMR008012,18.505181297935717,95.7015665865096,1355.1469619467434
